datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-03-10 00:00:00,0.0000,0.0000,0.0000,100000.0000,0.0000
2021-03-11 00:00:00,1040.0000,0.0000,1040.0000,101040.0000,1040.0000
2021-03-12 00:00:00,4720.0000,0.0000,4720.0000,104720.0000,3680.0000
2021-03-13 00:00:00,3670.0000,0.0000,3670.0000,103670.0000,-1050.0000
2021-03-14 00:00:00,11190.0000,0.0000,11190.0000,111190.0000,7520.0000
2021-03-15 00:00:00,6830.0000,0.0000,6830.0000,106830.0000,-4360.0000
2021-03-16 00:00:00,30.0000,0.0000,30.0000,100030.0000,-6800.0000
2021-03-17 00:00:00,2770.0000,0.0000,2770.0000,102770.0000,2740.0000
2021-03-18 00:00:00,7090.0000,0.0000,7090.0000,107090.0000,4320.0000
2021-03-19 00:00:00,4150.0000,0.0000,4150.0000,104150.0000,-2940.0000
2021-03-20 00:00:00,5120.0000,0.0000,5120.0000,105120.0000,970.0000
2021-03-21 00:00:00,5220.0000,0.0000,5220.0000,105220.0000,100.0000
2021-03-22 00:00:00,3520.0000,0.0000,3520.0000,103520.0000,-1700.0000
2021-03-23 00:00:00,100.0000,0.0000,100.0000,100100.0000,-3420.0000
2021-03-24 00:00:00,280.0000,0.0000,280.0000,100280.0000,180.0000
2021-03-25 00:00:00,-1530.0000,0.0000,-1530.0000,98470.0000,-1810.0000
2021-03-26 00:00:00,-2380.0000,0.0000,-2380.0000,97620.0000,-850.0000
2021-03-27 00:00:00,620.0000,0.0000,620.0000,100620.0000,3000.0000
