datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-01-21 00:00:00,1.0000,0.0000,0.0000
2021-01-22 00:00:00,0.9739,-0.0261,-0.0261
2021-01-23 00:00:00,0.9846,-0.0154,0.0110
2021-01-24 00:00:00,0.9800,-0.0200,-0.0047
2021-01-25 00:00:00,0.9822,-0.0178,0.0022
2021-01-26 00:00:00,0.9815,-0.0185,-0.0007
2021-01-27 00:00:00,0.9821,-0.0179,0.0006
2021-01-28 00:00:00,0.9754,-0.0246,-0.0068
2021-01-29 00:00:00,0.9839,-0.0161,0.0087
2021-01-30 00:00:00,0.9874,-0.0126,0.0036
2021-01-31 00:00:00,0.9881,-0.0119,0.0007
2021-02-01 00:00:00,0.9861,-0.0139,-0.0020
2021-02-02 00:00:00,0.9866,-0.0134,0.0005
2021-02-03 00:00:00,0.9900,-0.0100,0.0034
2021-02-04 00:00:00,0.9921,-0.0079,0.0021
2021-02-05 00:00:00,0.9920,-0.0080,-0.0001
2021-02-06 00:00:00,0.9938,-0.0062,0.0018
2021-02-07 00:00:00,1.0055,0.0055,0.0118
2021-02-08 00:00:00,1.0013,0.0013,-0.0042
2021-02-09 00:00:00,1.1067,0.1067,0.1053
2021-02-10 00:00:00,1.1068,0.1068,0.0001
2021-02-11 00:00:00,1.0836,0.0836,-0.0210
2021-02-12 00:00:00,1.1325,0.1325,0.0451
2021-02-13 00:00:00,1.1236,0.1236,-0.0079
2021-02-14 00:00:00,1.1209,0.1209,-0.0024
2021-02-15 00:00:00,1.1448,0.1448,0.0213
2021-02-16 00:00:00,1.1340,0.1340,-0.0094
2021-02-17 00:00:00,1.1556,0.1556,0.0190
2021-02-18 00:00:00,1.2106,0.2106,0.0476
2021-02-19 00:00:00,1.2086,0.2086,-0.0017
2021-02-20 00:00:00,1.2524,0.2524,0.0362
2021-02-21 00:00:00,1.2518,0.2518,-0.0005
2021-02-22 00:00:00,1.2689,0.2689,0.0137
2021-02-23 00:00:00,1.2333,0.2333,-0.0281
2021-02-24 00:00:00,1.1739,0.1739,-0.0482
2021-02-25 00:00:00,1.1832,0.1832,0.0079
2021-02-26 00:00:00,1.1491,0.1491,-0.0288
2021-02-27 00:00:00,1.1430,0.1430,-0.0053
2021-02-28 00:00:00,1.1428,0.1428,-0.0002
2021-03-01 00:00:00,1.1361,0.1361,-0.0059
2021-03-02 00:00:00,1.1615,0.1615,0.0224
2021-03-03 00:00:00,1.1567,0.1567,-0.0041
2021-03-04 00:00:00,1.1655,0.1655,0.0076
2021-03-05 00:00:00,1.1566,0.1566,-0.0076
